Treatment,Position,StagePayoff,FinalBalance,NEPayoffs,NEDiff
PL,Left,-5.194444444444445,151.2462962962963,-1,-4.194444444444445
PL,Center,5.735185185185185,161.00555555555556,20,-14.264814814814816
PL,Right,3.401851851851852,158.3148148148148,-5,8.401851851851852
PH,Left,-7.265789473684211,75.94473684210526,-1,-6.265789473684211
PH,Center,-0.9026315789473685,81.31052631578947,5,-5.902631578947369
PH,Right,-11.507894736842106,73.71842105263158,-5,-6.507894736842106
RL,Left,-2.878086419753086,174.8148148148148,-1,-1.8780864197530862
RL,Center,19.145061728395063,201.1466049382716,20,-0.8549382716049365
RL,Right,-7.143518518518518,176.054012345679,-5,-2.143518518518518
RH,Left,-6.1971428571428575,84.6,-1,-5.1971428571428575
RH,Center,3.974285714285714,89.28285714285714,5,-1.0257142857142858
RH,Right,-10.225714285714286,76.18,-5,-5.225714285714286
PLCS,Left,5.733333333333333,175.6090909090909,5.5,0.2333333333333334
PLCS,Center,-2.015151515151515,163.83636363636364,-2,-0.015151515151515138
PLCS,Right,3.16969696969697,168.47878787878787,5.5,-2.33030303030303
PLCA,Left,7.590909090909091,175.38484848484848,-2,9.59090909090909
PLCA,Center,4.239393939393939,173.61515151515152,5,-0.7606060606060607
PLCA,Right,-6.954545454545454,158.06060606060606,-3,-3.954545454545454
